,customerid,productid,rate,year,month
0,103744,270,4,2018,1
1,103730,673,2,2018,1
2,103350,444,1,2018,1
3,103653,209,2,2018,1
4,103602,422,1,2018,1
5,103717,152,4,2018,1
6,103456,155,1,2018,1
7,103476,93,4,2018,1
8,103614,651,3,2018,1
9,103996,252,3,2018,2
10,103736,445,3,2018,2
11,103393,379,1,2018,2
12,103645,372,2,2018,2
13,103602,116,5,2018,2
14,103576,89,1,2018,2
15,103741,473,3,2018,2
16,103524,285,4,2018,2
17,103693,271,4,2018,2
18,103527,431,2,2018,2
19,103838,352,5,2018,3
20,103641,487,4,2018,3
21,103455,125,5,2018,3
22,103709,530,3,2018,3
23,103509,87,2,2018,3
24,103506,13,5,2018,3
25,103982,289,5,2018,3
26,103785,570,3,2018,3
27,103490,571,5,2018,3
28,103455,58,5,2018,3
29,103911,62,2,2018,3
30,103629,51,5,2018,3
31,103333,455,1,2018,3
32,103702,688,5,2018,3
33,103717,495,4,2018,3
34,103373,466,2,2018,3
35,103456,489,1,2018,3
36,103856,242,4,2018,3
37,103765,52,5,2018,4
38,13874,270,4,2018,4
39,103854,252,2,2018,4
40,103310,364,1,2018,4
41,103441,5,5,2018,4
42,103382,133,4,2018,4
43,103548,269,5,2018,4
44,13892,642,3,2018,4
45,103466,487,1,2018,4
46,103367,216,5,2018,4
47,103436,679,5,2018,4
48,103987,16,5,2018,4
49,103759,95,1,2018,4
50,103960,151,5,2018,4
51,103577,237,2,2018,4
52,103592,584,1,2018,4
53,103996,249,5,2018,4
54,103820,374,3,2018,4
55,103641,348,1,2018,4
56,103822,551,2,2018,4
57,103401,146,4,2018,5
58,103404,508,2,2018,5
59,103467,421,4,2018,5
60,103687,199,4,2018,5
61,103373,393,1,2018,5
62,103911,413,2,2018,5
63,103766,204,5,2018,5
64,103387,353,5,2018,5
65,103825,324,4,2018,5
66,103614,538,3,2018,5
67,103509,614,2,2018,5
68,103505,596,1,2018,5
69,103755,334,2,2018,6
70,103776,349,4,2018,6
71,103367,176,5,2018,6
72,103641,619,5,2018,6
73,103758,334,5,2018,6
74,103707,532,4,2018,6
75,103424,470,5,2018,6
76,103308,648,5,2018,6
77,103582,544,1,2018,6
78,103748,213,1,2018,6
79,103977,526,5,2018,6
80,103672,296,5,2018,6
81,103373,588,2,2018,7
82,103736,232,3,2018,7
83,103641,185,5,2018,7
84,103359,127,4,2018,7
85,103638,683,3,2018,7
86,103442,332,5,2018,7
87,103977,164,5,2018,7
88,103766,680,5,2018,7
89,103309,225,5,2018,7
90,103996,104,4,2018,7
91,103333,333,4,2018,7
92,103424,153,5,2018,7
93,103393,322,5,2018,8
94,103600,472,2,2018,8
95,103954,279,3,2018,8
96,103593,3,4,2018,8
97,103911,189,5,2018,8
98,103435,183,2,2018,8
99,103487,483,1,2018,8
100,103962,603,4,2018,8
101,103982,22,5,2018,8
102,103831,511,1,2018,8
103,103344,243,4,2018,8
104,103718,145,1,2018,8
105,103602,525,1,2018,8
106,103463,558,1,2018,8
107,103356,179,1,2018,8
108,103368,526,3,2018,8
109,103518,573,4,2018,8
110,103424,37,5,2018,9
111,103641,447,5,2018,9
112,103651,419,5,2018,9
113,103620,416,2,2018,9
114,103544,102,5,2018,9
115,103971,652,5,2018,9
116,103785,460,4,2018,9
117,103576,172,4,2018,9
118,103779,317,2,2018,9
119,103333,84,1,2018,9
120,103659,9,1,2018,9
121,103350,264,5,2018,9
122,103695,510,1,2018,10
123,15042,98,5,2018,10
124,103463,497,1,2018,10
125,103453,403,3,2018,10
126,103676,286,3,2018,10
127,103641,514,1,2018,10
128,103765,440,5,2018,10
129,103403,555,3,2018,10
130,103503,208,1,2018,10
131,103907,525,1,2018,10
132,103391,298,4,2018,10
133,103695,136,1,2018,10
134,103768,346,3,2018,11
135,103736,79,3,2018,11
136,15018,2,4,2018,11
137,103996,455,4,2018,11
138,103392,171,3,2018,11
139,103316,545,4,2018,11
140,22881,385,5,2018,11
141,103785,167,4,2018,11
142,103406,318,4,2018,11
143,103765,643,5,2018,11
144,103476,105,1,2018,11
145,103736,119,3,2018,11
146,103654,567,2,2018,11
147,103406,587,4,2018,11
148,103728,675,5,2018,11
149,103525,390,5,2018,11
150,103605,115,5,2018,11
151,103896,60,2,2018,11
152,103896,646,5,2018,11
153,103497,41,2,2018,12
154,103766,604,5,2018,12
155,103587,223,4,2018,12
156,103639,644,1,2018,12
157,103566,417,2,2018,12
158,103767,558,5,2018,12
159,103996,371,5,2018,12
160,103709,50,3,2018,12
161,103820,357,5,2018,12
162,103763,537,1,2018,12
163,103659,638,5,2018,12
164,103982,315,4,2019,1
165,103996,507,2,2019,1
166,103423,122,2,2019,1
167,103336,122,1,2019,1
168,103996,185,5,2019,1
169,103653,586,4,2019,1
170,103831,558,2,2019,1
171,103907,357,4,2019,1
172,103654,638,5,2019,1
173,103565,54,3,2019,1
174,103700,163,1,2019,1
175,103758,445,3,2019,1
176,103833,364,4,2019,1
177,103606,603,2,2019,1
178,103865,195,2,2019,1
179,103648,519,5,2019,1
180,22881,149,4,2019,1
181,103333,167,1,2019,1
182,103651,480,5,2019,2
183,103901,382,5,2019,2
184,103809,448,1,2019,2
185,103806,330,1,2019,2
186,103541,642,3,2019,2
187,103858,546,1,2019,2
188,103820,598,5,2019,2
189,103781,170,3,2019,2
190,103617,270,2,2019,2
191,103582,25,1,2019,2
192,103958,396,3,2019,2
193,103659,199,1,2019,2
194,103744,150,4,2019,3
195,103785,95,3,2019,3
196,103350,35,5,2019,3
197,103489,521,3,2019,3
198,103443,265,2,2019,3
199,13879,455,2,2019,3
200,103802,121,1,2019,3
201,103516,94,4,2019,3
202,103911,245,5,2019,3
203,103378,451,5,2019,4
204,103355,417,4,2019,4
205,103880,632,4,2019,4
206,103838,380,5,2019,4
207,103883,436,5,2019,4
208,103958,92,3,2019,4
209,103467,469,4,2019,4
210,103659,182,5,2019,4
211,103454,409,4,2019,4
212,103330,105,5,2019,4
213,103744,316,4,2019,4
214,103911,390,2,2019,4
215,103713,347,1,2019,4
216,103348,45,4,2019,4
217,103841,16,2,2019,4
218,103463,61,3,2019,4
219,103618,71,5,2019,4
220,103372,648,2,2019,4
221,103988,251,5,2019,5
222,103516,362,4,2019,5
223,103703,409,5,2019,5
224,103997,113,1,2019,5
225,103862,515,2,2019,5
226,103463,612,1,2019,5
227,103602,369,1,2019,5
228,103395,292,3,2019,5
229,103864,599,5,2019,5
230,103707,21,2,2019,5
231,103882,439,5,2019,5
232,103853,677,3,2019,5
233,13892,60,3,2019,5
234,103883,53,5,2019,6
235,103899,567,4,2019,6
236,103831,270,1,2019,6
237,103520,339,4,2019,6
238,103977,517,5,2019,6
239,103744,359,1,2019,6
240,103620,31,2,2019,6
241,103880,505,2,2019,6
242,103901,529,5,2019,6
243,103896,501,2,2019,6
244,103309,221,3,2019,7
245,103408,165,4,2019,7
246,103765,120,5,2019,7
247,103316,656,4,2019,7
248,103393,511,5,2019,7
249,103996,581,2,2019,7
250,103618,353,4,2019,7
251,103383,393,3,2019,7
252,103629,8,5,2019,7
253,103393,653,5,2019,7
254,103597,613,1,2019,7
255,103333,627,1,2019,7
256,103408,393,4,2019,7
257,103796,332,5,2019,7
258,103653,200,1,2019,8
259,103329,120,5,2019,8
260,103309,92,4,2019,8
261,103406,554,3,2019,8
262,103807,623,5,2019,8
263,103316,110,4,2019,8
264,103378,626,1,2019,8
265,103523,594,5,2019,8
266,103873,478,4,2019,8
267,103600,209,1,2019,8
268,103602,644,1,2019,8
269,103392,467,3,2019,8
270,103602,68,1,2019,8
271,103487,338,1,2019,8
272,103643,390,1,2019,8
273,103455,483,5,2019,8
274,103442,229,5,2019,8
275,103432,448,4,2019,9
276,103444,122,1,2019,9
277,103707,615,4,2019,9
278,103878,495,4,2019,9
279,103899,477,1,2019,9
280,103629,617,5,2019,9
281,103436,18,5,2019,9
282,103958,378,1,2019,9
283,103838,494,5,2019,10
284,103603,340,4,2019,10
285,103996,333,5,2019,10
286,103987,180,1,2019,10
287,103807,371,5,2019,10
288,103373,109,2,2019,10
289,103987,357,5,2019,10
